Real,Imaginary
0.212272232953878537,-0.205574193703330188
0.184241236449255691,-0.231031203069302832
0.153185003935760206,-0.252694686468079743
0.119613477892667602,-0.270208930101172473
0.084077901849469963,-0.283286350572333201
0.047161768982363565,-0.291712216998969875
0.009471241172424020,-0.295348176887303249
-0.028374804155719892,-0.294134527876488083
-0.065754935984090629,-0.288091198049728936
-0.102055373581496120,-0.277317418715704311
-0.136680064766166953,-0.261990095033221349
-0.169060473066101252,-0.242360901233400344
-0.198664913072218730,-0.218752148135756053
-0.225007280698079321,-0.191551490813451381
-0.247655034995538953,-0.161205563307717042
-0.266236300465164777,-0.128212644909238282
-0.280445973241652546,-0.093114478425979960
-0.290050730890859809,-0.056487374781255449
-0.294892863557724372,-0.018932750004300627
-0.294892863557724261,0.018932750004300621
-0.290050730890859698,0.056487374781255428
-0.280445973241652546,0.093114478425979960
-0.266236300465164888,0.128212644909238310
-0.247655034995538953,0.161205563307717042
-0.225007280698079321,0.191551490813451381
-0.198664913072219229,0.218752148135755609
-0.169060473066101252,0.242360901233400344
-0.136680064766166981,0.261990095033221404
-0.102055373581496606,0.277317418715704089
-0.065754935984091142,0.288091198049728825
-0.028374804155719958,0.294134527876488083
0.009471241172424084,0.295348176887303249
0.047161768982363565,0.291712216998969875
0.084077901849469935,0.283286350572333090
0.119613477892667353,0.270208930101172584
0.153185003935760178,0.252694686468079743
0.184241236449255774,0.231031203069302804
0.212272232953878537,0.205574193703330216
0.236817725261981138,0.176741661760154350
0.257474677068461555,0.145007036617163604
0.273903901795749416,0.110891399941855040
0.285835632028033193,0.074954929545259383
0.293073949084769247,0.037787701277771514
0.295499999999999985,-0.000000000000000072
0.295499999999999985,0.000000000000000000
0.293073949084769247,-0.037787701277771438
0.285835632028033138,-0.074954929545259480
0.273903901795749471,-0.110891399941854943
0.257474677068461555,-0.145007036617163604
0.236817725261981138,-0.176741661760154378
0.275205804754838745,-0.189960851306898243
0.250301994188416088,-0.221748216915721996
0.290767588956039491,-0.237759477650611700
0.315974826931391672,-0.203064691036322381
0.337062849816474164,-0.165722645626953963
0.353756742983005523,-0.126220152091715360
0.365838876003540481,-0.085072185845117013
0.373151739796915627,-0.042815173554886732
0.375599999999999989,-0.000000000000000092
0.375599999999999989,0.000000000000000000
0.373151739796915460,0.042815173554887058
0.365838876003540425,0.085072185845117096
0.353756742983005579,0.126220152091715526
0.337062849816474330,0.165722645626953963
0.315974826931391672,0.203064691036322437
0.290767588956039436,0.237759477650611784
0.261769750786928213,0.269354705867466682
0.229359343591070602,0.297438483568406631
0.193958886591594104,0.321644695762496768
0.156029878883508527,0.341657777455157075
0.116066783087230257,0.357216827520459634
0.074590579272142021,0.368119009946302977
0.032141973184652076,0.374222198112026894
-0.010725652678112350,0.375446827626267854
-0.053453453255445926,0.371776933570478307
-0.095484406323073548,0.363260358626055158
-0.136270574129700839,0.350008129371821464
-0.175280246603562867,0.332193008882779139
-0.212004873006358702,0.310047244499217722
-0.245965691669849024,0.283859540127459398
-0.276719971386377828,0.253971292542921501
-0.303866783087230197,0.220772140761052948
-0.327052226566188431,0.184694886496888588
-0.345974044109937651,0.146209851932812274
-0.360385560889605383,0.105818748349640501
-0.370098900744393500,0.064048135552813398
-0.374987435434656513,0.021442557360055986
-0.374987435434656513,-0.021442557360055986
-0.370098900744393611,-0.064048135552813426
-0.360385560889605494,-0.105818748349640529
-0.345974044109937651,-0.146209851932812274
-0.327052226566188153,-0.184694886496889032
-0.303866783087230197,-0.220772140761052948
-0.276719971386377495,-0.253971292542921889
-0.245965691669849024,-0.283859540127459398
-0.212004873006358702,-0.310047244499217722
-0.175280246603562867,-0.332193008882779139
-0.136270574129700867,-0.350008129371821575
-0.095484406323073548,-0.363260358626055158
-0.053453453255445926,-0.371776933570478307
-0.010725652678112183,-0.375446827626267854
0.032141973184652325,-0.374222198112026838
0.074590579272142341,-0.368119009946302866
0.116066783087230202,-0.357216827520459690
0.156029878883508694,-0.341657777455157019
0.193958886591594187,-0.321644695762496768
0.229359343591070824,-0.297438483568406298
0.235277677153178766,-0.347008612477276435
0.196380238763386755,-0.370412424633995374
0.155180421626259002,-0.389473489783189852
0.112161255928375891,-0.403968334363684234
0.067827102054746874,-0.413727019575534927
0.022697737424436239,-0.418635133757083666
-0.022697737424436475,-0.418635133757083777
-0.067827102054746610,-0.413727019575534871
-0.112161255928376197,-0.403968334363684123
-0.155180421626259196,-0.389473489783189741
-0.196380238763387477,-0.370412424633994875
-0.235277677153179099,-0.347008612477276213
-0.271416699894781233,-0.319536441612261579
-0.304373609988773108,-0.288317998124297370
-0.333762017797091304,-0.253719289719985919
-0.359237371108261705,-0.216145954621466518
-0.380500994697048900,-0.176038505829140712
-0.397303592018389884,-0.133867166509509722
-0.409448167981453781,-0.090126357058472106
-0.416792338536965457,-0.045328898474237295
-0.419250000000000012,0.000000000000000051
-0.416792338536965457,0.045328898474237295
