Real_1H,Imag_1H,Real_2H,Imag_2H
0.257972723074171240,-0.564881469115156021,0.344048566524513710,0.172787684377177952
0.257972723074171240,-0.564881469115156021,0.294927110600806563,0.247473229729317623
0.257972723074171240,-0.564881469115156021,0.453118546990729898,0.201741374965596854
0.257972723074171240,-0.564881469115156021,0.203646752981725687,0.203646752981725687
0.146406298951353930,-0.603494983928919537,0.385000000000000009,-0.000000000000000094
0.146406298951353930,-0.603494983928919537,0.385000000000000009,0.000000000000000000
0.029548369726543487,-0.620296617632648095,0.249415316289918226,-0.144000000000000128
0.029548369726543487,-0.620296617632648095,0.203646752981725576,-0.203646752981725743
0.029548369726543487,-0.620296617632648095,0.144000000000000017,-0.249415316289918310
0.029548369726543487,-0.620296617632648095,0.127815409381040329,-0.160275453905946136
0.029548369726543487,-0.620296617632648095,0.169378948734778934,-0.115480611903042499
0.029548369726543487,-0.620296617632648095,0.195892425186158792,-0.060424810754235461
-0.088377514567710105,-0.614679115408059085,0.204999999999999988,0.000000000000000000
0.029548369726543487,-0.620296617632648095,0.287999999999999978,0.000000000000000000
0.029548369726543487,-0.620296617632648095,0.287999999999999978,-0.000000000000000071
0.029548369726543487,-0.620296617632648095,0.374622275173232155,0.088787110235839448
0.029548369726543487,-0.620296617632648095,0.278186637971251649,0.074539884989525962
0.146406298951353930,-0.603494983928919537,0.195892425186158847,0.060424810754235350
0.029548369726543487,-0.620296617632648095,0.195892425186158847,0.060424810754235350
0.029548369726543487,-0.620296617632648095,0.136000000000000010,-0.000000000000000033
0.029548369726543487,-0.620296617632648095,0.136000000000000010,0.000000000000000000
0.029548369726543487,-0.620296617632648095,0.127798196426883559,-0.046514739492290923
0.029548369726543487,-0.620296617632648095,0.104182044264180984,-0.087419114917369409
0.029548369726543487,-0.620296617632648095,0.068000000000000019,-0.117779454914683654
0.029548369726543487,-0.620296617632648095,0.054199579115067474,-0.060194730863668972
0.029548369726543487,-0.620296617632648095,0.081000000000000003,0.000000000000000000
0.029548369726543487,-0.620296617632648095,0.081000000000000003,-0.000000000000000020
0.029548369726543487,-0.620296617632648095,0.127798196426883559,0.046514739492290950
0.029548369726543487,-0.620296617632648095,0.169378948734778934,0.115480611903042499
0.029548369726543487,-0.620296617632648095,0.249415316289918337,0.143999999999999961
0.029548369726543487,-0.620296617632648095,0.344048566524513710,0.172787684377177952
0.029548369726543487,-0.620296617632648095,0.453118546990729898,0.201741374965596854
0.051846117780755895,-0.493282860102663590,0.380000000000000171,0.658179306876173431
0.029548369726543487,-0.620296617632648095,0.576516486402981032,0.230802384965063417
0.029548369726543487,-0.620296617632648095,0.522418443888163497,0.335737947639926093
0.146406298951353930,-0.603494983928919537,0.153272429209973943,0.471724032082396161
0.051846117780755895,-0.493282860102663590,0.658179306876173542,0.380000000000000004
0.051846117780755895,-0.493282860102663590,0.582193776770423388,0.488518583361769898
-0.051846117780756165,-0.493282860102663534,0.658179306876173542,0.380000000000000004
-0.051846117780756165,-0.493282860102663534,0.488518583361770009,0.582193776770423388
-0.051846117780756165,-0.493282860102663534,0.582193776770423388,0.488518583361769898
-0.153272429209973887,-0.471724032082396216,0.582193776770423388,0.488518583361769898
-0.153272429209973887,-0.471724032082396216,0.380000000000000171,0.658179306876173431
-0.153272429209973887,-0.471724032082396216,0.488518583361770009,0.582193776770423388
-0.247999999999999943,-0.429548600277081694,0.488518583361770009,0.582193776770423388
-0.247999999999999943,-0.429548600277081694,0.380000000000000171,0.658179306876173431
-0.247999999999999943,-0.429548600277081694,0.259935308927508324,0.714166391797290356
-0.331888780753993695,-0.368599833436787538,0.488518583361770009,0.582193776770423388
-0.331888780753993695,-0.368599833436787538,0.582193776770423388,0.488518583361769898
-0.488138971835270885,-0.383876730442996028,0.582193776770423388,0.488518583361769898
-0.247999999999999943,-0.429548600277081694,0.582193776770423388,0.488518583361769898
-0.153272429209973887,-0.471724032082396216,0.259935308927508324,0.714166391797290356
-0.247999999999999943,-0.429548600277081694,0.658179306876173542,0.380000000000000004
-0.247999999999999943,-0.429548600277081694,0.714166391797290467,0.259935308927508213
-0.247999999999999943,-0.429548600277081694,0.748453892289278055,0.131972615026867052
-0.247999999999999943,-0.429548600277081694,0.760000000000000120,-0.000000000000000186
-0.247999999999999943,-0.429548600277081694,0.760000000000000120,0.000000000000000000
-0.247999999999999943,-0.429548600277081694,0.748453892289278055,-0.131972615026867052
-0.247999999999999943,-0.429548600277081694,0.714166391797290467,-0.259935308927508102
-0.247999999999999943,-0.429548600277081694,0.658179306876173320,-0.380000000000000449
-0.247999999999999943,-0.429548600277081694,0.582193776770423166,-0.488518583361770176
-0.247999999999999943,-0.429548600277081694,0.488518583361769898,-0.582193776770423499
-0.247999999999999943,-0.429548600277081694,0.380000000000000171,-0.658179306876173431
-0.153272429209973887,-0.471724032082396216,0.488518583361769898,-0.582193776770423499
-0.110419244593769325,-0.368825962241463357,0.488518583361769898,-0.582193776770423499
-0.110419244593769325,-0.368825962241463357,0.380000000000000171,-0.658179306876173431
-0.110419244593769325,-0.368825962241463357,0.259935308927508546,-0.714166391797290578
-0.022385759130533093,-0.384348640934438379,0.380000000000000171,-0.658179306876173431
0.066854548401768049,-0.379150984909700117,0.488518583361769898,-0.582193776770423499
0.066854548401768049,-0.379150984909700117,0.380000000000000171,-0.658179306876173431
-0.022385759130533093,-0.384348640934438379,0.259935308927508546,-0.714166391797290578
-0.022385759130533093,-0.384348640934438379,0.131972615026866830,-0.748453892289278278
0.066854548401768049,-0.379150984909700117,0.259935308927508546,-0.714166391797290578
0.152490709925075490,-0.353513201148905443,0.488518583361769898,-0.582193776770423499
0.074539884989525865,-0.278186637971251816,0.259935308927508546,-0.714166391797290578
0.144000000000000017,-0.249415316289918310,0.380000000000000171,-0.658179306876173431
0.144000000000000017,-0.249415316289918310,0.488518583361769898,-0.582193776770423499
0.074539884989525865,-0.278186637971251816,0.380000000000000171,-0.658179306876173431
0.074539884989525865,-0.278186637971251816,0.488518583361769898,-0.582193776770423499
0.144000000000000017,-0.249415316289918310,0.714166391797290467,-0.259935308927508102
0.074539884989525865,-0.278186637971251816,0.582193776770423166,-0.488518583361770176
0.074894909995111017,-0.190829118472061826,0.488518583361769898,-0.582193776770423499
0.074894909995111017,-0.190829118472061826,0.582193776770423166,-0.488518583361770176
0.015319669185216999,-0.204426778422141908,0.582193776770423166,-0.488518583361770176
-0.045616791461044616,-0.199860221997273796,0.582193776770423166,-0.488518583361770176
-0.102500000000000008,-0.177535207775810028,0.582193776770423166,-0.488518583361770176
-0.150275633725114321,-0.139435411243038515,0.582193776770423166,-0.488518583361770176
-0.150275633725114321,-0.139435411243038515,0.658179306876173320,-0.380000000000000449
-0.067999999999999977,-0.117779454914683668,0.658179306876173320,-0.380000000000000449
-0.023616152162702523,-0.133933854409660297,0.658179306876173320,-0.380000000000000449
0.023616152162702481,-0.133933854409660325,0.658179306876173320,-0.380000000000000449
0.068000000000000019,-0.117779454914683654,0.582193776770423166,-0.488518583361770176
0.023616152162702481,-0.133933854409660325,0.582193776770423166,-0.488518583361770176
-0.023616152162702523,-0.133933854409660297,0.582193776770423166,-0.488518583361770176
-0.023616152162702523,-0.133933854409660297,0.488518583361769898,-0.582193776770423499
-0.067999999999999977,-0.117779454914683668,0.488518583361769898,-0.582193776770423499
-0.104182044264180998,-0.087419114917369381,0.488518583361769898,-0.582193776770423499
-0.127798196426883531,-0.046514739492290971,0.488518583361769898,-0.582193776770423499
-0.127798196426883531,-0.046514739492290971,0.582193776770423166,-0.488518583361770176
-0.067999999999999977,-0.117779454914683668,0.582193776770423166,-0.488518583361770176
-0.065530376544370730,-0.047610605435690331,0.582193776770423166,-0.488518583361770176
-0.079229955659438259,-0.016840846956238505,0.582193776770423166,-0.488518583361770176
-0.079229955659438259,-0.016840846956238505,0.488518583361769898,-0.582193776770423499
